2025-05-24 21:18:11,384 [myid:] - INFO  [main:QuorumPeerConfig@136] - Reading configuration from: /home/jepsen/zookeeper-v3.4/conf/zoo.cfg
2025-05-24 21:18:11,462 [myid:2] - INFO  [WorkerReceiver[myid=2]:FastLeaderElection@595] - Notification: 1 (message format version), 4 (n.leader), 0x0 (n.zxid), 0x1 (n.round), LOOKING (n.state), 4 (n.sid), 0x0 (n.peerEpoch) LOOKING (my state)
2025-05-24 21:18:11,461 [myid:2] - WARN  [SendWorker:4:QuorumCnxManager$SendWorker@951] - Send worker leaving thread
2025-05-24 21:18:11,462 [myid:2] - WARN  [RecvWorker:4:QuorumCnxManager$RecvWorker@1028] - Interrupting SendWorker
2025-05-24 21:18:11,663 [myid:2] - INFO  [QuorumPeer[myid=2]/0:0:0:0:0:0:0:0:2181:QuorumPeer@979] - FOLLOWING
2025-05-24 21:18:11,668 [myid:2] - INFO  [QuorumPeer[myid=2]/0:0:0:0:0:0:0:0:2181:Learner@86] - TCP NoDelay set to: true
2025-05-24 21:18:11,674 [myid:2] - INFO  [QuorumPeer[myid=2]/0:0:0:0:0:0:0:0:2181:Environment@100] - Server environment:zookeeper.version=3.4.13-2d71af4dbe22557fda74f9a9b4309b15a7487f03, built on 06/29/2018 04:05 GMT
2025-05-24 21:18:11,674 [myid:2] - INFO  [QuorumPeer[myid=2]/0:0:0:0:0:0:0:0:2181:Environment@100] - Server environment:host.name=hp144.utah.cloudlab.us
2025-05-24 21:18:11,674 [myid:2] - INFO  [QuorumPeer[myid=2]/0:0:0:0:0:0:0:0:2181:Environment@100] - Server environment:java.version=11.0.26
2025-05-24 21:18:11,674 [myid:2] - INFO  [QuorumPeer[myid=2]/0:0:0:0:0:0:0:0:2181:Environment@100] - Server environment:java.vendor=Ubuntu
2025-05-24 21:18:11,675 [myid:2] - INFO  [QuorumPeer[myid=2]/0:0:0:0:0:0:0:0:2181:Environment@100] - Server environment:java.home=/usr/lib/jvm/java-11-openjdk-amd64
2025-05-24 21:18:11,675 [myid:2] - INFO  [QuorumPeer[myid=2]/0:0:0:0:0:0:0:0:2181:Environment@100] - Server environment:java.class.path=/home/jepsen/zookeeper-v3.4/bin/../build/classes:/home/jepsen/zookeeper-v3.4/bin/../build/lib/*.jar:/home/jepsen/zookeeper-v3.4/bin/../lib/slf4j-log4j12-1.7.25.jar:/home/jepsen/zookeeper-v3.4/bin/../lib/slf4j-api-1.7.25.jar:/home/jepsen/zookeeper-v3.4/bin/../lib/netty-3.10.6.Final.jar:/home/jepsen/zookeeper-v3.4/bin/../lib/log4j-1.2.17.jar:/home/jepsen/zookeeper-v3.4/bin/../lib/jline-0.9.94.jar:/home/jepsen/zookeeper-v3.4/bin/../lib/audience-annotations-0.5.0.jar:/home/jepsen/zookeeper-v3.4/bin/../zookeeper-3.4.13.jar:/home/jepsen/zookeeper-v3.4/bin/../src/java/lib/*.jar:/home/jepsen/zookeeper-v3.4/bin/../conf:
2025-05-24 21:18:11,675 [myid:2] - INFO  [QuorumPeer[myid=2]/0:0:0:0:0:0:0:0:2181:Environment@100] - Server environment:java.library.path=/usr/java/packages/lib:/usr/lib/x86_64-linux-gnu/jni:/lib/x86_64-linux-gnu:/usr/lib/x86_64-linux-gnu:/usr/lib/jni:/lib:/usr/lib
2025-05-24 21:18:11,675 [myid:2] - INFO  [QuorumPeer[myid=2]/0:0:0:0:0:0:0:0:2181:Environment@100] - Server environment:java.io.tmpdir=/tmp
2025-05-24 21:18:11,675 [myid:2] - INFO  [QuorumPeer[myid=2]/0:0:0:0:0:0:0:0:2181:Environment@100] - Server environment:java.compiler=<NA>
2025-05-24 21:18:11,675 [myid:2] - INFO  [QuorumPeer[myid=2]/0:0:0:0:0:0:0:0:2181:Environment@100] - Server environment:os.name=Linux
2025-05-24 21:18:11,676 [myid:2] - INFO  [QuorumPeer[myid=2]/0:0:0:0:0:0:0:0:2181:Environment@100] - Server environment:os.arch=amd64
2025-05-24 21:18:11,676 [myid:2] - INFO  [QuorumPeer[myid=2]/0:0:0:0:0:0:0:0:2181:Environment@100] - Server environment:os.version=6.13.5-061305-generic
2025-05-24 21:18:11,676 [myid:2] - INFO  [QuorumPeer[myid=2]/0:0:0:0:0:0:0:0:2181:Environment@100] - Server environment:user.name=jepsen
2025-05-24 21:18:11,676 [myid:2] - INFO  [QuorumPeer[myid=2]/0:0:0:0:0:0:0:0:2181:Environment@100] - Server environment:user.home=/home/jepsen
2025-05-24 21:18:11,676 [myid:2] - INFO  [QuorumPeer[myid=2]/0:0:0:0:0:0:0:0:2181:Environment@100] - Server environment:user.dir=/
2025-05-24 21:18:11,679 [myid:2] - INFO  [QuorumPeer[myid=2]/0:0:0:0:0:0:0:0:2181:ZooKeeperServer@174] - Created server with tickTime 2000 minSessionTimeout 4000 maxSessionTimeout 40000 datadir /home/jepsen/zookeeper-v3.4/data/version-2 snapdir /home/jepsen/zookeeper-v3.4/data/version-2
2025-05-24 21:18:11,680 [myid:2] - INFO  [QuorumPeer[myid=2]/0:0:0:0:0:0:0:0:2181:Follower@65] - FOLLOWING - LEADER ELECTION TOOK - 225
2025-05-24 21:18:11,683 [myid:2] - INFO  [QuorumPeer[myid=2]/0:0:0:0:0:0:0:0:2181:QuorumPeer$QuorumServer@184] - Resolved hostname: hp149.utah.cloudlab.us to address: hp149.utah.cloudlab.us/128.110.218.188
2025-05-24 21:18:11,684 [myid:2] - WARN  [QuorumPeer[myid=2]/0:0:0:0:0:0:0:0:2181:Learner@237] - Unexpected exception, tries=0, connecting to hp149.utah.cloudlab.us/128.110.218.188:2888
java.net.ConnectException: Connection refused (Connection refused)
	at java.base/java.net.PlainSocketImpl.socketConnect(Native Method)
	at java.base/java.net.AbstractPlainSocketImpl.doConnect(AbstractPlainSocketImpl.java:412)
	at java.base/java.net.AbstractPlainSocketImpl.connectToAddress(AbstractPlainSocketImpl.java:255)
	at java.base/java.net.AbstractPlainSocketImpl.connect(AbstractPlainSocketImpl.java:237)
	at java.base/java.net.SocksSocketImpl.connect(SocksSocketImpl.java:392)
	at java.base/java.net.Socket.connect(Socket.java:609)
	at org.apache.zookeeper.server.quorum.Learner.connectToLeader(Learner.java:229)
	at org.apache.zookeeper.server.quorum.Follower.followLeader(Follower.java:72)
	at org.apache.zookeeper.server.quorum.QuorumPeer.run(QuorumPeer.java:981)
2025-05-24 21:18:12,694 [myid:2] - INFO  [QuorumPeer[myid=2]/0:0:0:0:0:0:0:0:2181:Learner@332] - Getting a diff from the leader 0x0
2025-05-24 21:18:22,073 [myid:2] - INFO  [NIOServerCxn.Factory:0.0.0.0/0.0.0.0:2181:NIOServerCnxnFactory@215] - Accepted socket connection from /128.110.218.193:55018
2025-05-24 21:18:22,082 [myid:2] - INFO  [NIOServerCxn.Factory:0.0.0.0/0.0.0.0:2181:ZooKeeperServer@949] - Client attempting to establish new session at /128.110.218.193:55018
2025-05-24 21:18:22,091 [myid:2] - WARN  [QuorumPeer[myid=2]/0:0:0:0:0:0:0:0:2181:Follower@119] - Got zxid 0x100000001 expected 0x1
2025-05-24 21:18:22,091 [myid:2] - INFO  [SyncThread:2:FileTxnLog@213] - Creating new log file: log.100000001
2025-05-24 21:18:22,101 [myid:2] - INFO  [CommitProcessor:2:ZooKeeperServer@694] - Established session 0x2002413bc9f0000 with negotiated timeout 5000 for client /128.110.218.193:55018
2025-05-24 21:18:22,218 [myid:2] - INFO  [NIOServerCxn.Factory:0.0.0.0/0.0.0.0:2181:NIOServerCnxnFactory@215] - Accepted socket connection from /128.110.218.193:55028
2025-05-24 21:18:22,218 [myid:2] - INFO  [NIOServerCxn.Factory:0.0.0.0/0.0.0.0:2181:NIOServerCnxnFactory@215] - Accepted socket connection from /128.110.218.193:55030
2025-05-24 21:18:22,219 [myid:2] - INFO  [NIOServerCxn.Factory:0.0.0.0/0.0.0.0:2181:ZooKeeperServer@949] - Client attempting to establish new session at /128.110.218.193:55030
2025-05-24 21:18:22,220 [myid:2] - INFO  [NIOServerCxn.Factory:0.0.0.0/0.0.0.0:2181:ZooKeeperServer@949] - Client attempting to establish new session at /128.110.218.193:55028
2025-05-24 21:18:22,222 [myid:2] - INFO  [NIOServerCxn.Factory:0.0.0.0/0.0.0.0:2181:NIOServerCnxnFactory@215] - Accepted socket connection from /128.110.218.193:55042
2025-05-24 21:18:22,223 [myid:2] - INFO  [CommitProcessor:2:ZooKeeperServer@694] - Established session 0x2002413bc9f0001 with negotiated timeout 5000 for client /128.110.218.193:55030
2025-05-24 21:18:22,223 [myid:2] - INFO  [NIOServerCxn.Factory:0.0.0.0/0.0.0.0:2181:NIOServerCnxnFactory@215] - Accepted socket connection from /128.110.218.193:55052
2025-05-24 21:18:22,225 [myid:2] - INFO  [NIOServerCxn.Factory:0.0.0.0/0.0.0.0:2181:ZooKeeperServer@949] - Client attempting to establish new session at /128.110.218.193:55042
2025-05-24 21:18:22,225 [myid:2] - INFO  [CommitProcessor:2:ZooKeeperServer@694] - Established session 0x2002413bc9f0002 with negotiated timeout 5000 for client /128.110.218.193:55028
2025-05-24 21:18:22,225 [myid:2] - INFO  [NIOServerCxn.Factory:0.0.0.0/0.0.0.0:2181:ZooKeeperServer@949] - Client attempting to establish new session at /128.110.218.193:55052
2025-05-24 21:18:22,228 [myid:2] - INFO  [CommitProcessor:2:ZooKeeperServer@694] - Established session 0x2002413bc9f0003 with negotiated timeout 5000 for client /128.110.218.193:55042
2025-05-24 21:18:22,229 [myid:2] - INFO  [CommitProcessor:2:ZooKeeperServer@694] - Established session 0x2002413bc9f0004 with negotiated timeout 5000 for client /128.110.218.193:55052
2025-05-24 21:18:22,239 [myid:2] - INFO  [NIOServerCxn.Factory:0.0.0.0/0.0.0.0:2181:NIOServerCnxnFactory@215] - Accepted socket connection from /128.110.218.193:55054
2025-05-24 21:18:22,240 [myid:2] - INFO  [NIOServerCxn.Factory:0.0.0.0/0.0.0.0:2181:ZooKeeperServer@949] - Client attempting to establish new session at /128.110.218.193:55054
2025-05-24 21:18:22,245 [myid:2] - INFO  [NIOServerCxn.Factory:0.0.0.0/0.0.0.0:2181:NIOServerCnxnFactory@215] - Accepted socket connection from /128.110.218.193:55064
2025-05-24 21:18:22,246 [myid:2] - INFO  [CommitProcessor:2:ZooKeeperServer@694] - Established session 0x2002413bc9f0005 with negotiated timeout 5000 for client /128.110.218.193:55054
2025-05-24 21:18:22,246 [myid:2] - INFO  [NIOServerCxn.Factory:0.0.0.0/0.0.0.0:2181:ZooKeeperServer@949] - Client attempting to establish new session at /128.110.218.193:55064
2025-05-24 21:18:22,249 [myid:2] - INFO  [CommitProcessor:2:ZooKeeperServer@694] - Established session 0x2002413bc9f0006 with negotiated timeout 5000 for client /128.110.218.193:55064
2025-05-24 21:18:32,146 [myid:2] - WARN  [NIOServerCxn.Factory:0.0.0.0/0.0.0.0:2181:NIOServerCnxn@376] - Unable to read additional data from client sessionid 0x2002413bc9f0000, likely client has closed socket
2025-05-24 21:18:32,147 [myid:2] - INFO  [NIOServerCxn.Factory:0.0.0.0/0.0.0.0:2181:NIOServerCnxn@1056] - Closed socket connection for client /128.110.218.193:55018 which had sessionid 0x2002413bc9f0000
2025-05-24 21:18:33,661 [myid:2] - WARN  [NIOServerCxn.Factory:0.0.0.0/0.0.0.0:2181:NIOServerCnxn@376] - Unable to read additional data from client sessionid 0x2002413bc9f0002, likely client has closed socket
2025-05-24 21:18:33,661 [myid:2] - INFO  [NIOServerCxn.Factory:0.0.0.0/0.0.0.0:2181:NIOServerCnxn@1056] - Closed socket connection for client /128.110.218.193:55028 which had sessionid 0x2002413bc9f0002
2025-05-24 21:18:33,662 [myid:2] - WARN  [NIOServerCxn.Factory:0.0.0.0/0.0.0.0:2181:NIOServerCnxn@376] - Unable to read additional data from client sessionid 0x2002413bc9f0005, likely client has closed socket
2025-05-24 21:18:33,663 [myid:2] - INFO  [NIOServerCxn.Factory:0.0.0.0/0.0.0.0:2181:NIOServerCnxn@1056] - Closed socket connection for client /128.110.218.193:55054 which had sessionid 0x2002413bc9f0005
2025-05-24 21:18:33,663 [myid:2] - WARN  [NIOServerCxn.Factory:0.0.0.0/0.0.0.0:2181:NIOServerCnxn@376] - Unable to read additional data from client sessionid 0x2002413bc9f0001, likely client has closed socket
2025-05-24 21:18:33,664 [myid:2] - INFO  [NIOServerCxn.Factory:0.0.0.0/0.0.0.0:2181:NIOServerCnxn@1056] - Closed socket connection for client /128.110.218.193:55030 which had sessionid 0x2002413bc9f0001
2025-05-24 21:18:33,664 [myid:2] - WARN  [NIOServerCxn.Factory:0.0.0.0/0.0.0.0:2181:NIOServerCnxn@376] - Unable to read additional data from client sessionid 0x2002413bc9f0004, likely client has closed socket
2025-05-24 21:18:33,665 [myid:2] - INFO  [NIOServerCxn.Factory:0.0.0.0/0.0.0.0:2181:NIOServerCnxn@1056] - Closed socket connection for client /128.110.218.193:55052 which had sessionid 0x2002413bc9f0004
2025-05-24 21:18:33,667 [myid:2] - WARN  [NIOServerCxn.Factory:0.0.0.0/0.0.0.0:2181:NIOServerCnxn@376] - Unable to read additional data from client sessionid 0x2002413bc9f0003, likely client has closed socket
2025-05-24 21:18:33,667 [myid:2] - INFO  [NIOServerCxn.Factory:0.0.0.0/0.0.0.0:2181:NIOServerCnxn@1056] - Closed socket connection for client /128.110.218.193:55042 which had sessionid 0x2002413bc9f0003
2025-05-24 21:18:33,668 [myid:2] - WARN  [NIOServerCxn.Factory:0.0.0.0/0.0.0.0:2181:NIOServerCnxn@376] - Unable to read additional data from client sessionid 0x2002413bc9f0006, likely client has closed socket
2025-05-24 21:18:33,669 [myid:2] - INFO  [NIOServerCxn.Factory:0.0.0.0/0.0.0.0:2181:NIOServerCnxn@1056] - Closed socket connection for client /128.110.218.193:55064 which had sessionid 0x2002413bc9f0006
2025-05-24 21:18:33,928 [myid:2] - INFO  [NIOServerCxn.Factory:0.0.0.0/0.0.0.0:2181:NIOServerCnxnFactory@215] - Accepted socket connection from /128.110.218.193:55990
2025-05-24 21:18:33,929 [myid:2] - INFO  [NIOServerCxn.Factory:0.0.0.0/0.0.0.0:2181:ZooKeeperServer@942] - Client attempting to renew session 0x2002413bc9f0000 at /128.110.218.193:55990
2025-05-24 21:18:33,930 [myid:2] - INFO  [NIOServerCxn.Factory:0.0.0.0/0.0.0.0:2181:Learner@108] - Revalidating client: 0x2002413bc9f0000
2025-05-24 21:18:34,221 [myid:2] - INFO  [NIOServerCxn.Factory:0.0.0.0/0.0.0.0:2181:NIOServerCnxnFactory@215] - Accepted socket connection from /128.110.218.193:56002
2025-05-24 21:18:34,221 [myid:2] - INFO  [NIOServerCxn.Factory:0.0.0.0/0.0.0.0:2181:ZooKeeperServer@949] - Client attempting to establish new session at /128.110.218.193:56002
2025-05-24 21:18:34,339 [myid:2] - INFO  [NIOServerCxn.Factory:0.0.0.0/0.0.0.0:2181:NIOServerCnxnFactory@215] - Accepted socket connection from /128.110.218.193:56006
2025-05-24 21:18:34,339 [myid:2] - INFO  [NIOServerCxn.Factory:0.0.0.0/0.0.0.0:2181:ZooKeeperServer@949] - Client attempting to establish new session at /128.110.218.193:56006
2025-05-24 21:18:34,353 [myid:2] - INFO  [NIOServerCxn.Factory:0.0.0.0/0.0.0.0:2181:NIOServerCnxnFactory@215] - Accepted socket connection from /128.110.218.193:56010
2025-05-24 21:18:34,354 [myid:2] - INFO  [NIOServerCxn.Factory:0.0.0.0/0.0.0.0:2181:ZooKeeperServer@949] - Client attempting to establish new session at /128.110.218.193:56010
2025-05-24 21:18:34,520 [myid:2] - INFO  [NIOServerCxn.Factory:0.0.0.0/0.0.0.0:2181:NIOServerCnxnFactory@215] - Accepted socket connection from /128.110.218.193:56016
2025-05-24 21:18:34,521 [myid:2] - INFO  [NIOServerCxn.Factory:0.0.0.0/0.0.0.0:2181:ZooKeeperServer@949] - Client attempting to establish new session at /128.110.218.193:56016
2025-05-24 21:18:34,539 [myid:2] - INFO  [NIOServerCxn.Factory:0.0.0.0/0.0.0.0:2181:NIOServerCnxnFactory@215] - Accepted socket connection from /128.110.218.193:56030
2025-05-24 21:18:34,540 [myid:2] - INFO  [NIOServerCxn.Factory:0.0.0.0/0.0.0.0:2181:ZooKeeperServer@949] - Client attempting to establish new session at /128.110.218.193:56030
2025-05-24 21:18:34,780 [myid:2] - INFO  [NIOServerCxn.Factory:0.0.0.0/0.0.0.0:2181:NIOServerCnxnFactory@215] - Accepted socket connection from /128.110.218.193:56044
2025-05-24 21:18:34,781 [myid:2] - INFO  [NIOServerCxn.Factory:0.0.0.0/0.0.0.0:2181:ZooKeeperServer@949] - Client attempting to establish new session at /128.110.218.193:56044
2025-05-24 21:18:36,726 [myid:2] - INFO  [CommitProcessor:2:NIOServerCnxn@1056] - Closed socket connection for client /128.110.218.193:55990 which had sessionid 0x2002413bc9f0000
2025-05-24 21:18:36,734 [myid:2] - INFO  [QuorumPeer[myid=2]/0:0:0:0:0:0:0:0:2181:ZooKeeperServer@687] - Invalid session 0x2002413bc9f0000 for client null, probably expired
2025-05-24 21:18:36,751 [myid:2] - INFO  [CommitProcessor:2:ZooKeeperServer@694] - Established session 0x2002413bc9f0007 with negotiated timeout 5000 for client /128.110.218.193:56002
2025-05-24 21:18:36,752 [myid:2] - INFO  [CommitProcessor:2:ZooKeeperServer@694] - Established session 0x2002413bc9f0008 with negotiated timeout 5000 for client /128.110.218.193:56006
2025-05-24 21:18:36,752 [myid:2] - INFO  [CommitProcessor:2:ZooKeeperServer@694] - Established session 0x2002413bc9f0009 with negotiated timeout 5000 for client /128.110.218.193:56010
2025-05-24 21:18:36,753 [myid:2] - INFO  [CommitProcessor:2:ZooKeeperServer@694] - Established session 0x2002413bc9f000a with negotiated timeout 5000 for client /128.110.218.193:56016
2025-05-24 21:18:36,754 [myid:2] - INFO  [CommitProcessor:2:ZooKeeperServer@694] - Established session 0x2002413bc9f000b with negotiated timeout 5000 for client /128.110.218.193:56030
2025-05-24 21:18:36,755 [myid:2] - INFO  [CommitProcessor:2:ZooKeeperServer@694] - Established session 0x2002413bc9f000c with negotiated timeout 5000 for client /128.110.218.193:56044
2025-05-24 21:18:38,541 [myid:2] - INFO  [NIOServerCxn.Factory:0.0.0.0/0.0.0.0:2181:NIOServerCnxnFactory@215] - Accepted socket connection from /128.110.218.193:51292
2025-05-24 21:18:38,542 [myid:2] - INFO  [NIOServerCxn.Factory:0.0.0.0/0.0.0.0:2181:ZooKeeperServer@942] - Client attempting to renew session 0x2002413bc9f0000 at /128.110.218.193:51292
2025-05-24 21:18:38,542 [myid:2] - INFO  [NIOServerCxn.Factory:0.0.0.0/0.0.0.0:2181:Learner@108] - Revalidating client: 0x2002413bc9f0000
2025-05-24 21:18:38,543 [myid:2] - INFO  [QuorumPeer[myid=2]/0:0:0:0:0:0:0:0:2181:ZooKeeperServer@687] - Invalid session 0x2002413bc9f0000 for client /128.110.218.193:51292, probably expired
2025-05-24 21:18:38,544 [myid:2] - INFO  [NIOServerCxn.Factory:0.0.0.0/0.0.0.0:2181:NIOServerCnxn@1056] - Closed socket connection for client /128.110.218.193:51292 which had sessionid 0x2002413bc9f0000
2025-05-24 21:18:47,213 [myid:2] - INFO  [NIOServerCxn.Factory:0.0.0.0/0.0.0.0:2181:NIOServerCnxn@1056] - Closed socket connection for client /128.110.218.193:56006 which had sessionid 0x2002413bc9f0008
2025-05-24 21:18:47,217 [myid:2] - INFO  [NIOServerCxn.Factory:0.0.0.0/0.0.0.0:2181:NIOServerCnxn@1056] - Closed socket connection for client /128.110.218.193:56044 which had sessionid 0x2002413bc9f000c
2025-05-24 21:18:47,217 [myid:2] - WARN  [NIOServerCxn.Factory:0.0.0.0/0.0.0.0:2181:NIOServerCnxn@376] - Unable to read additional data from client sessionid 0x2002413bc9f000b, likely client has closed socket
2025-05-24 21:18:47,218 [myid:2] - INFO  [NIOServerCxn.Factory:0.0.0.0/0.0.0.0:2181:NIOServerCnxn@1056] - Closed socket connection for client /128.110.218.193:56030 which had sessionid 0x2002413bc9f000b
2025-05-24 21:18:47,218 [myid:2] - WARN  [NIOServerCxn.Factory:0.0.0.0/0.0.0.0:2181:NIOServerCnxn@376] - Unable to read additional data from client sessionid 0x2002413bc9f000a, likely client has closed socket
2025-05-24 21:18:47,219 [myid:2] - INFO  [NIOServerCxn.Factory:0.0.0.0/0.0.0.0:2181:NIOServerCnxn@1056] - Closed socket connection for client /128.110.218.193:56016 which had sessionid 0x2002413bc9f000a
2025-05-24 21:18:47,219 [myid:2] - WARN  [NIOServerCxn.Factory:0.0.0.0/0.0.0.0:2181:NIOServerCnxn@376] - Unable to read additional data from client sessionid 0x2002413bc9f0009, likely client has closed socket
2025-05-24 21:18:47,220 [myid:2] - INFO  [NIOServerCxn.Factory:0.0.0.0/0.0.0.0:2181:NIOServerCnxn@1056] - Closed socket connection for client /128.110.218.193:56010 which had sessionid 0x2002413bc9f0009
2025-05-24 21:18:47,220 [myid:2] - WARN  [NIOServerCxn.Factory:0.0.0.0/0.0.0.0:2181:NIOServerCnxn@376] - Unable to read additional data from client sessionid 0x2002413bc9f0007, likely client has closed socket
2025-05-24 21:18:47,221 [myid:2] - INFO  [NIOServerCxn.Factory:0.0.0.0/0.0.0.0:2181:NIOServerCnxn@1056] - Closed socket connection for client /128.110.218.193:56002 which had sessionid 0x2002413bc9f0007
